Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\HeLa_HTDNA-stimulation_siRNAP6-8_IFNb.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-18 14:01:33 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
E11;siPARP6.1;PARP8;UNKNOWN;SYBR;None;1,35967302322388;0,0704442262649536;26,2436065673828;30,0016746520996;28,4481029510498;1,75631666183472;;9,03742599487305;1,74531590938568;;;-0,443259716033936;VRAI;1,60673930566562;VRAI;3;22;1;;Y
E12;siPARP6.1;PARP8;UNKNOWN;SYBR;None;1,35967302322388;0,0704442262649536;26,2436065673828;29,9338684082031;28,4481029510498;1,75631666183472;;9,03742599487305;1,74531590938568;;;-0,443259716033936;VRAI;1,60673930566562;VRAI;3;22;1;;Y
1,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;0,916101574897766;0,273689955472946;3,06639719009399;26,6337375640869;27,2155055999756;0,732971549034119;;9,60710716247559;0,71231210231781;;;0,126420497894287;VRAI;1,60673930566562;VRAI;3;19;1;;Y
2,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;0,916101574897766;0,273689955472946;3,06639719009399;26,5506973266602;27,2155055999756;0,732971549034119;;9,60710716247559;0,71231210231781;;;0,126420497894287;VRAI;1,60673930566562;VRAI;3;19;1;;Y
3,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;0,916101574897766;0,273689955472946;3,06639719009399;28,0036239624023;27,2155055999756;0,732971549034119;;9,60710716247559;0,71231210231781;;;0,126420497894287;VRAI;1,60673930566562;VRAI;3;20;1;;Y
4,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;0,916101574897766;0,273689955472946;3,06639719009399;27,6739673614502;27,2155055999756;0,732971549034119;;9,60710716247559;0,71231210231781;;;0,126420497894287;VRAI;1,60673930566562;VRAI;3;20;1;;Y
5,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,271341770887375;0,162542730569839;0,452966183423996;28,0451774597168;27,62548828125;0,510420620441437;;11,3625030517578;0,302132695913315;;;1,88181686401367;VRAI;1,60673930566562;VRAI;3;20;1;;Y
6,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,271341770887375;0,162542730569839;0,452966183423996;28,0847492218018;27,62548828125;0,510420620441437;;11,3625030517578;0,302132695913315;;;1,88181686401367;VRAI;1,60673930566562;VRAI;3;20;1;;Y
7,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,271341770887375;0,162542730569839;0,452966183423996;27,2502746582031;27,62548828125;0,510420620441437;;11,3625030517578;0,302132695913315;;;1,88181686401367;VRAI;1,60673930566562;VRAI;3;19;1;;Y
8,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,271341770887375;0,162542730569839;0,452966183423996;27,1217594146729;27,62548828125;0,510420620441437;;11,3625030517578;0,302132695913315;;;1,88181686401367;VRAI;1,60673930566562;VRAI;3;19;1;;Y
9,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,463305085897446;0,160441562533379;1,3378803730011;27,7502422332764;26,6974182128906;1,12484288215637;;10,590651512146;0,625243008136749;;;1,10996556282043;VRAI;1,60673930566562;VRAI;3;20;1;;Y
10,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,463305085897446;0,160441562533379;1,3378803730011;27,5857601165771;26,6974182128906;1,12484288215637;;10,590651512146;0,625243008136749;;;1,10996556282043;VRAI;1,60673930566562;VRAI;3;19;1;;Y
11,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,463305085897446;0,160441562533379;1,3378803730011;25,8109722137451;26,6974182128906;1,12484288215637;;10,590651512146;0,625243008136749;;;1,10996556282043;VRAI;1,60673930566562;VRAI;3;18;1;;Y
12,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,463305085897446;0,160441562533379;1,3378803730011;25,6426963806152;26,6974182128906;1,12484288215637;;10,590651512146;0,625243008136749;;;1,10996556282043;VRAI;1,60673930566562;VRAI;3;17;1;;Y
G1;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;35,9118881225586;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;28;1;;Y
G2;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;37,0714988708496;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;30;1;;Y
G3;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;35,1943550109863;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;28;1;;Y
G4;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;34,8469390869141;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;27;1;;Y
G5;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;35,1624794006348;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;27;1;;Y
G6;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;35,559154510498;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;28;1;;Y
G7;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;35,2650718688965;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;28;1;;Y
G8;Control;IFNB;UNKNOWN;SYBR;None;1;0,526578426361084;1,8990523815155;34,6312370300293;35,4553260803223;0,762567341327667;;17,9599876403809;0,431408643722534;;;0;VRAI;1,31662796894318;VRAI;3;27;1;;Y
G9;siPARP6.1;IFNB;UNKNOWN;SYBR;None;3,48753094673157;0,125716626644135;96,7483215332031;33,8526916503906;35,5684547424316;2,50075912475586;;16,1577796936035;1,95918726921082;;;-1,80220603942871;VRAI;1,31662796894318;VRAI;3;26;1;;Y
G10;siPARP6.1;IFNB;UNKNOWN;SYBR;None;3,48753094673157;0,125716626644135;96,7483215332031;33,4875373840332;35,5684547424316;2,50075912475586;;16,1577796936035;1,95918726921082;;;-1,80220603942871;VRAI;1,31662796894318;VRAI;3;26;1;;Y
G11;siPARP6.1;IFNB;UNKNOWN;SYBR;None;3,48753094673157;0,125716626644135;96,7483215332031;36,0039405822754;35,5684547424316;2,50075912475586;;16,1577796936035;1,95918726921082;;;-1,80220603942871;VRAI;1,31662796894318;VRAI;3;28;1;;Y
G12;siPARP6.1;IFNB;UNKNOWN;SYBR;None;3,48753094673157;0,125716626644135;96,7483215332031;38,9296569824219;35,5684547424316;2,50075912475586;;16,1577796936035;1,95918726921082;;;-1,80220603942871;VRAI;1,31662796894318;VRAI;3;31;1;;Y
H1;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,720534384250641;0,135158434510231;3,84119439125061;34,3291969299316;36,0412445068359;1,54988861083984;;18,4328479766846;0,986719489097595;;;0,472860813140869;VRAI;1,31662796894318;VRAI;3;27;1;;Y
H2;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,720534384250641;0,135158434510231;3,84119439125061;35,234546661377;36,0412445068359;1,54988861083984;;18,4328479766846;0,986719489097595;;;0,472860813140869;VRAI;1,31662796894318;VRAI;3;28;1;;Y
H3;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,720534384250641;0,135158434510231;3,84119439125061;36,824951171875;36,0412445068359;1,54988861083984;;18,4328479766846;0,986719489097595;;;0,472860813140869;VRAI;1,31662796894318;VRAI;3;29;1;;Y
H4;siPARP6.2;IFNB;UNKNOWN;SYBR;None;0,720534384250641;0,135158434510231;3,84119439125061;37,776294708252;36,0412445068359;1,54988861083984;;18,4328479766846;0,986719489097595;;;0,472860813140869;VRAI;1,31662796894318;VRAI;3;30;1;;Y
