Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\timedep_4-8h.eds;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-31 19:02:26 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD;NOISE;OUTLIERRG
D11;8h Control;PARP8;UNKNOWN;SYBR;None;0,842566967010498;0,624295353889465;1,13715255260468;25,3328037261963;25,5627212524414;0,265827149152756;;10,146146774292;0,15579728782177;;;0,247136756777763;VRAI;1,45548097181861;VRAI;3;17;1;;N;N;N
D12;8h Control;PARP8;UNKNOWN;SYBR;None;0,842566967010498;0,624295353889465;1,13715255260468;25,8537979125977;25,5627212524414;0,265827149152756;;10,146146774292;0,15579728782177;;;0,247136756777763;VRAI;1,45548097181861;VRAI;3;18;1;;N;N;N
E7;8h si8.1;PARP8;UNKNOWN;SYBR;None;0,305712252855301;0,174591436982155;0,535306811332703;27,9690856933594;27,6820774078369;0,465675860643387;;11,6087636947632;0,29108864068985;;;1,70975363254547;VRAI;1,45548097181861;VRAI;3;20;1;;N;N;N
E8;8h si8.1;PARP8;UNKNOWN;SYBR;None;0,305712252855301;0,174591436982155;0,535306811332703;27,9323711395264;27,6820774078369;0,465675860643387;;11,6087636947632;0,29108864068985;;;1,70975363254547;VRAI;1,45548097181861;VRAI;3;20;1;;N;N;N
E9;8h si8.1;PARP8;UNKNOWN;SYBR;None;0,305712252855301;0,174591436982155;0,535306811332703;27,1447811126709;27,6820774078369;0,465675860643387;;11,6087636947632;0,29108864068985;;;1,70975363254547;VRAI;1,45548097181861;VRAI;3;19;1;;N;N;N
E10;8h si8.2;PARP8;UNKNOWN;SYBR;None;0,303169786930084;0,0849390551447868;1,08209264278412;27,5012893676758;27,7416248321533;0,646557986736298;;11,6208124160767;0,661142587661743;;;1,72180211544037;VRAI;1,45548097181861;VRAI;3;20;1;;Y;N;N
E11;8h si8.2;PARP8;UNKNOWN;SYBR;None;0,303169786930084;0,0849390551447868;1,08209264278412;27,2496528625488;27,7416248321533;0,646557986736298;;11,6208124160767;0,661142587661743;;;1,72180211544037;VRAI;1,45548097181861;VRAI;3;19;1;;Y;N;N
E12;8h si8.2;PARP8;UNKNOWN;SYBR;None;0,303169786930084;0,0849390551447868;1,08209264278412;28,473934173584;27,7416248321533;0,646557986736298;;11,6208124160767;0,661142587661743;;;1,72180211544037;VRAI;1,45548097181861;VRAI;3;20;1;;Y;N;N
1,00 F;5h Control;IFNB;UNKNOWN;SYBR;None;1;0,376045763492584;2,65925097465515;33,2608032226563;33,5339660644531;0,253490775823593;;17,5824546813965;0,508211016654968;;;0;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
2,00 F;5h Control;IFNB;UNKNOWN;SYBR;None;1;0,376045763492584;2,65925097465515;33,7616195678711;33,5339660644531;0,253490775823593;;17,5824546813965;0,508211016654968;;;0;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
3,00 F;5h Control;IFNB;UNKNOWN;SYBR;None;1;0,376045763492584;2,65925097465515;33,579475402832;33,5339660644531;0,253490775823593;;17,5824546813965;0,508211016654968;;;0;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
10,00 F;5h si 8.1;IFNB;UNKNOWN;SYBR;None;0,519948065280914;0,249762341380119;1,08241283893585;34,4185371398926;34,181209564209;0,439970642328262;;18,5260143280029;0,380994945764542;;;0,943560600280762;VRAI;2,08079001114919;VRAI;3;26;1;;N;N;N
11,00 F;5h si 8.1;IFNB;UNKNOWN;SYBR;None;0,519948065280914;0,249762341380119;1,08241283893585;34,4515609741211;34,181209564209;0,439970642328262;;18,5260143280029;0,380994945764542;;;0,943560600280762;VRAI;2,08079001114919;VRAI;3;26;1;;N;N;N
12,00 F;5h si 8.1;IFNB;UNKNOWN;SYBR;None;0,519948065280914;0,249762341380119;1,08241283893585;33,6735343933105;34,181209564209;0,439970642328262;;18,5260143280029;0,380994945764542;;;0,943560600280762;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
G1;5h si 8.2;IFNB;UNKNOWN;SYBR;None;0,573076605796814;0,337555527687073;0,972926735877991;34,9408645629883;34,8657264709473;0,41010245680809;;18,3856544494629;0,275029122829437;;;0,80320006608963;VRAI;2,08079001114919;VRAI;3;27;1;;N;N;N
G2;5h si 8.2;IFNB;UNKNOWN;SYBR;None;0,573076605796814;0,337555527687073;0,972926735877991;34,4232521057129;34,8657264709473;0,41010245680809;;18,3856544494629;0,275029122829437;;;0,80320006608963;VRAI;2,08079001114919;VRAI;3;26;1;;N;N;N
G3;5h si 8.2;IFNB;UNKNOWN;SYBR;None;0,573076605796814;0,337555527687073;0,972926735877991;35,2330665588379;34,8657264709473;0,41010245680809;;18,3856544494629;0,275029122829437;;;0,80320006608963;VRAI;2,08079001114919;VRAI;3;27;1;;N;N;N
G4;8h Control;IFNB;UNKNOWN;SYBR;None;0,626015901565552;0,446332812309265;0,878035128116608;33,8332748413086;33,6747550964355;0,30092379450798;;18,2581825256348;0,175792932510376;;;0,675728797912598;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
G5;8h Control;IFNB;UNKNOWN;SYBR;None;0,626015901565552;0,446332812309265;0,878035128116608;33,3277130126953;33,6747550964355;0,30092379450798;;18,2581825256348;0,175792932510376;;;0,675728797912598;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
G6;8h Control;IFNB;UNKNOWN;SYBR;None;0,626015901565552;0,446332812309265;0,878035128116608;33,8632850646973;33,6747550964355;0,30092379450798;;18,2581825256348;0,175792932510376;;;0,675728797912598;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
H1;8h si8.1;IFNB;UNKNOWN;SYBR;None;1,3476026058197;0,813904106616974;2,23126149177551;33,1788940429688;33,2253761291504;0,410619646310806;;17,1520595550537;0,262012898921967;;;-0,430395126342773;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
H2;8h si8.1;IFNB;UNKNOWN;SYBR;None;1,3476026058197;0,813904106616974;2,23126149177551;32,839973449707;33,2253761291504;0,410619646310806;;17,1520595550537;0,262012898921967;;;-0,430395126342773;VRAI;2,08079001114919;VRAI;3;24;1;;N;N;N
H3;8h si8.1;IFNB;UNKNOWN;SYBR;None;1,3476026058197;0,813904106616974;2,23126149177551;33,6572570800781;33,2253761291504;0,410619646310806;;17,1520595550537;0,262012898921967;;;-0,430395126342773;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
H4;8h si8.2;IFNB;UNKNOWN;SYBR;None;0,612514734268188;0,209152951836586;1,79377973079681;34,2420883178711;34,4104499816895;0,204749375581741;;18,2896385192871;0,558334946632385;;;0,707183539867401;VRAI;2,08079001114919;VRAI;3;25;1;;N;N;N
H5;8h si8.2;IFNB;UNKNOWN;SYBR;None;0,612514734268188;0,209152951836586;1,79377973079681;34,350887298584;34,4104499816895;0,204749375581741;;18,2896385192871;0,558334946632385;;;0,707183539867401;VRAI;2,08079001114919;VRAI;3;26;1;;N;N;N
H6;8h si8.2;IFNB;UNKNOWN;SYBR;None;0,612514734268188;0,209152951836586;1,79377973079681;34,6383781433105;34,4104499816895;0,204749375581741;;18,2896385192871;0,558334946632385;;;0,707183539867401;VRAI;2,08079001114919;VRAI;3;26;1;;N;N;N
A1;12h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,0241813659668;15,2919807434082;0,548052489757538;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;Y;N;N
A2;12h Control;GAPDH;UNKNOWN;SYBR;None;;;;14,9293174743652;15,2919807434082;0,548052489757538;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;Y;N;N
A3;12h Control;GAPDH;UNKNOWN;SYBR;None;;;;15,9224424362183;15,2919807434082;0,548052489757538;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;Y;N;N
A10;12h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,6288375854492;15,4790458679199;0,229191347956657;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;N;N;N
A11;12h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,5930957794189;15,4790458679199;0,229191347956657;;;;;;;VRAI;0,82947164773941;VRAI;3;9;1;;N;N;N
A12;12h si8.1;GAPDH;UNKNOWN;SYBR;None;;;;15,2152042388916;15,4790458679199;0,229191347956657;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;N;N;N
B1;12h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,0177392959595;15,0118570327759;0,0905712321400642;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;N;N;N
B2;12h si8.2;GAPDH;UNKNOWN;SYBR;None;;;;15,09934425354;15,0118570327759;0,0905712321400642;;;;;;;VRAI;0,82947164773941;VRAI;3;8;1;;N;N;N
