Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\HeLa_siRNAP8-P6_stimulation-3pRNA.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-22 15:51:13 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
9,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,414107471704483;0,146995887160301;1,16659736633301;27,7429389953613;26,8646659851074;0,758007347583771;;11,0622539520264;0,610659301280975;;;1,27192282676697;VRAI;1,71552373721073;VRAI;3;20;1;;Y
10,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,414107471704483;0,146995887160301;1,16659736633301;27,2505054473877;26,8646659851074;0,758007347583771;;11,0622539520264;0,610659301280975;;;1,27192282676697;VRAI;1,71552373721073;VRAI;3;19;1;;Y
11,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,414107471704483;0,146995887160301;1,16659736633301;26,2800006866455;26,8646659851074;0,758007347583771;;11,0622539520264;0,610659301280975;;;1,27192282676697;VRAI;1,71552373721073;VRAI;3;18;1;;Y
12,00 F;siPARP8.2;PARP8;UNKNOWN;SYBR;None;0,414107471704483;0,146995887160301;1,16659736633301;26,1852130889893;26,8646659851074;0,758007347583771;;11,0622539520264;0,610659301280975;;;1,27192282676697;VRAI;1,71552373721073;VRAI;3;18;1;;Y
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
G4;Control;IFNB;UNKNOWN;SYBR;None;1;0,622566044330597;1,60625529289246;30,151388168335;30,3128776550293;0,542018473148346;;12,0479936599731;0,318773448467255;;;0;VRAI;1,40676323412817;VRAI;3;22;1;;Y
;;;;;;;;;;;;;;;;;;;;;;;;;
G6;Control;IFNB;UNKNOWN;SYBR;None;1;0,622566044330597;1,60625529289246;29,6307830810547;30,3128776550293;0,542018473148346;;12,0479936599731;0,318773448467255;;;0;VRAI;1,40676323412817;VRAI;3;22;1;;Y
